Airport,ShortName,Location,Country,Size
Harare Airport,HRE,Harare,Zimbabwe,2
Hwange Airport,WKI,Hwange,Zimbabwe,1
Hwange Nat Park Airport,HWN,Hwange Nat Park,Zimbabwe,1
Apartado Airport,APO,Apartado,Colombia,1
Apiay Airport,API,Apiay,Colombia,1
Araracuara Airport,ACR,Araracuara,Colombia,1
Aracatuba Airport,ARU,Aracatuba,Brazil,1
Aragarcas Airport,ARS,Aragarcas,Brazil,1
Araguaina Airport,AUX,Araguaina,Brazil,1
Arapiraca Airport,APQ,Arapiraca,Brazil,1
Arapongas Airport,APX,Arapongas,Brazil,1
Arapoti Airport,AAG,Arapoti,Brazil,1
Araraquara Airport,AQA,Araraquara,Brazil,1
Araxa Airport,AAX,Araxa,Brazil,1
San Jose Airport,SJS,San Jose,Bolivia,1
San Matias Airport,MQK,San Matias,Bolivia,1
San Ramon Airport,SRD,San Ramon,Bolivia,1
Yacuma Airport,SBL,Santa Ana,Bolivia,1
El Trompillo Airport,SRZ,Santa Cruz,Bolivia,1
Viru Viru International Airport,VVI,Santa Cruz,Bolivia,2
Santa Rosa Airport,SRB,Santa Rosa,Bolivia,1
Sucre Airport,SRE,Sucre,Bolivia,1
Chingola Airport,CGJ,Chingola,Zambia,1
Chipata Airport,CIP,Chipata,Zambia,1
Kalabo Airport,KLB,Kalabo,Zambia,1
Kaoma Airport,KMZ,Kaoma,Zambia,1
Kasaba Bay Airport,ZKB,Kasaba Bay,Zambia,1
Kasama Airport,KAA,Kasama,Zambia,1
Kasompe Airport,ZKP,Kasompe,Zambia,1
Placencia Airport,PLJ,Placencia,Belize,1
Punta Gorda Airport,PND,Punta Gorda,Belize,1
Matthew Spain Airport,SQS,San Ignacio,Belize,1
San Pedro Airport,SPR,San Pedro,Belize,1
Santa Cruz Airport,STU,Santa Cruz,Belize,1
Sartaneja Airport,SJX,Sartaneja,Belize,1
Silver Creek Airport,SVK,Silver Creek,Belize,1
Arua Airport,RUA,Arua,Uganda,1
Entebbe Airport,EBB,Entebbe,Uganda,2
Gulu Airport,ULU,Gulu,Uganda,1
Jinja Airport,JIN,Jinja,Uganda,1
Kabalega Falls Airport,KBG,Kabalega Falls,Uganda,1
Kasese Airport,KSE,Kasese,Uganda,1
Temuco Airport,ZCO,Temuco,Chile,2
Barriles Airport,TOQ,Tocopilla,Chile,1
Pichoy Airport,ZAL,Valdivia,Chile,2
Vallenar Airport,VLR,Vallenar,Chile,1
Kariba Airport,KAB,Kariba,Zimbabwe,1
Mahenye Airport,MJW,Mahenye,Zimbabwe,1
Masvingo Airport,MVZ,Masvingo,Zimbabwe,1
Mutare Airport,UTA,Mutare,Zimbabwe,1
Victoria Falls Airport,VFA,Victoria Falls,Zimbabwe,2
Arauca Airport,AUC,Arauca,Colombia,1
Arauquita Airport,ARQ,Arauquita,Colombia,1
Arboletas Airport,ARO,Arboletas,Colombia,1
Arica Airport,ACM,Arica,Colombia,1
El Eden Airport,AXM,Armenia,Colombia,1
Ayacucho Airport,AYC,Ayacucho,Colombia,1
Ayapel Airport,AYA,Ayapel,Colombia,1
Aripuana Airport,AIR,Aripuana,Brazil,1
Ariquemes Airport,AQM,Ariquemes,Brazil,1
Arraias Airport,AAI,Arraias,Brazil,1
Aruja Airport,ZFU,Aruja,Brazil,1
Assis Airport,AIF,Assis,Brazil,1
Bage Airport,BGX,Bage,Brazil,1
Balsas Airport,BSS,Balsas,Brazil,1
Tarija Airport,TJA,Tarija,Bolivia,1
Trinidad Airport,TDD,Trinidad,Bolivia,1
Vallegrande Airport,VAH,Vallegrande,Bolivia,1
